date,close,high,low,volume
1998-06-10,50.5,51.19,50.25,910900.0
1998-06-11,49.75,50.5,49.63,730100.0
1998-06-12,49.88,50.06,49.5,707600.0
1998-06-15,49.38,49.63,48.44,1278600.0
1998-06-16,48.81,49.5,48.69,586700.0
1998-06-17,49.75,50.0,48.94,969500.0
1998-06-18,49.63,49.94,49.31,428700.0
1998-06-19,49.81,50.13,49.19,1001400.0
1998-06-22,49.63,50.69,49.63,994400.0
1998-06-23,49.63,50.19,49.5,705600.0
1998-06-24,49.38,49.63,49.13,953700.0
1998-06-25,49.94,50.38,49.25,898100.0
1998-06-26,50.63,51.06,49.81,1287500.0
1998-06-29,52.19,52.44,51.0,1341500.0
1998-06-30,54.06,54.31,52.19,1577700.0
1998-07-01,53.88,54.63,53.5,1248200.0
1998-07-02,54.25,55.06,53.94,1617000.0
1998-07-06,54.56,54.88,54.25,657200.0
1998-07-07,54.44,54.75,54.25,686000.0
1998-07-08,54.5,54.69,54.06,697200.0
1998-07-09,54.5,54.63,54.25,1280400.0
1998-07-10,54.69,54.81,54.19,587400.0
1998-07-13,55.63,55.94,54.75,1261400.0
1998-07-14,55.75,56.75,55.13,1482400.0
1998-07-15,56.06,57.06,55.0,1115500.0
1998-07-16,57.75,57.75,55.94,1506900.0
1998-07-17,57.94,58.19,57.25,952100.0
1998-07-20,56.69,58.44,56.13,1158800.0
1998-07-21,56.44,56.63,55.81,550800.0
1998-07-22,56.5,56.5,55.81,544300.0
1998-07-23,56.5,56.56,55.56,1133100.0
1998-07-24,55.25,56.63,54.13,1688000.0
1998-07-27,54.88,55.0,53.88,1287200.0
1998-07-28,54.25,55.25,53.44,1169500.0
1998-07-29,53.69,54.63,53.63,1455000.0
1998-07-30,54.19,54.44,53.5,888800.0
1998-07-31,52.94,54.13,52.25,977700.0
1998-08-03,52.13,53.31,52.0,932500.0
1998-08-04,50.0,52.63,49.88,2129000.0
1998-08-05,49.25,50.44,48.13,1744000.0
1998-08-06,48.5,49.25,47.94,1376700.0
1998-08-07,49.75,50.25,48.44,1008900.0
1998-08-10,49.25,49.56,48.63,574400.0
1998-08-11,47.75,48.88,47.5,890400.0
1998-08-12,47.75,48.44,47.63,1097500.0
1998-08-13,47.56,48.19,46.88,676800.0
1998-08-14,46.75,47.94,46.31,603400.0
1998-08-17,47.56,48.25,46.56,1111200.0
1998-08-18,47.44,47.88,46.94,614600.0
1998-08-19,49.06,49.66,47.63,954300.0
1998-08-20,49.06,49.38,48.63,488100.0
1998-08-21,47.38,48.38,45.88,1394000.0
1998-08-24,47.06,48.06,46.88,1014500.0
1998-08-25,47.25,47.94,47.19,1293800.0
1998-08-26,47.31,47.75,47.0,946200.0
1998-08-27,46.0,47.25,45.38,934400.0
1998-08-28,44.06,46.5,43.94,1574700.0
1998-08-31,42.31,45.63,41.88,1948000.0
1998-09-01,43.13,43.38,40.63,1568000.0
1998-09-02,44.5,45.69,42.94,1145700.0
1998-09-03,43.69,44.75,43.19,1626000.0
1998-09-04,43.44,44.5,42.75,848500.0
1998-09-08,45.0,46.06,43.88,773600.0
1998-09-09,44.75,46.5,44.34,909800.0
1998-09-10,44.19,44.5,43.81,1099500.0
1998-09-11,45.94,46.13,43.81,1236000.0
1998-09-14,49.75,49.81,46.81,1594100.0
1998-09-15,50.63,50.63,48.81,871100.0
1998-09-16,51.69,51.75,50.5,1102700.0
1998-09-17,50.0,50.63,49.56,788500.0
1998-09-18,50.0,50.63,49.13,1028700.0
1998-09-21,50.75,51.31,48.75,846300.0
1998-09-22,50.69,50.94,49.75,654200.0
1998-09-23,53.75,53.75,50.94,1162700.0
1998-09-24,53.0,54.0,52.63,1149700.0
1998-09-25,52.0,52.88,51.88,1063300.0
1998-09-28,51.13,52.25,51.0,590300.0
1998-09-29,52.0,52.0,51.13,410300.0
1998-09-30,53.5,53.56,52.06,1575700.0
1998-10-01,51.38,52.5,51.13,1218400.0
1998-10-02,52.13,52.88,51.25,1531500.0
1998-10-05,53.0,53.44,51.88,931200.0
1998-10-06,52.0,53.38,51.75,831900.0
1998-10-07,52.0,53.06,51.0,840300.0
1998-10-08,51.38,52.13,50.5,747100.0
1998-10-09,51.38,51.88,49.5,965700.0
1998-10-12,50.94,52.13,50.63,569800.0
1998-10-13,51.19,52.31,50.0,921800.0
1998-10-14,51.31,51.81,51.25,1265700.0
1998-10-15,52.19,52.63,50.56,1204800.0
1998-10-16,53.13,53.5,52.25,1782000.0
1998-10-19,52.56,53.13,52.25,541700.0
1998-10-20,52.94,53.38,52.56,806800.0
1998-10-21,52.75,53.25,51.5,609700.0
1998-10-22,52.13,52.5,51.5,606000.0
1998-10-23,52.5,52.56,51.38,765300.0
1998-10-26,52.0,53.13,51.81,744900.0
1998-10-27,52.19,53.13,52.0,972500.0
1998-10-28,51.63,52.5,51.5,481900.0
1998-10-29,52.13,52.13,50.75,940800.0
1998-10-30,52.75,53.25,52.13,690300.0
1998-11-02,53.69,53.75,52.13,1000400.0
1998-11-03,55.06,55.19,53.88,2270000.0
1998-11-04,56.13,56.94,55.25,2119000.0
1998-11-05,56.0,56.13,55.56,724300.0
1998-11-06,55.81,56.0,55.13,700500.0
1998-11-09,58.31,58.44,56.88,1831000.0
1998-11-10,56.44,57.56,56.38,1957000.0
1998-11-11,55.0,56.44,54.44,1171100.0
1998-11-12,54.88,55.25,53.94,1146100.0
1998-11-13,54.06,55.63,53.88,1115900.0
1998-11-16,54.81,55.0,53.81,871800.0
1998-11-17,53.94,54.56,53.63,963500.0
1998-11-18,55.0,55.13,53.38,679600.0
1998-11-19,55.13,56.06,54.88,586900.0
1998-11-20,55.63,55.94,55.0,614200.0
1998-11-23,56.31,56.81,55.69,703200.0
1998-11-24,56.0,56.81,55.0,567400.0
1998-11-25,54.94,56.13,54.75,425400.0
1998-11-27,54.19,55.44,54.0,193100.0
1998-11-30,52.5,54.19,52.25,517800.0
1998-12-01,52.69,53.0,52.13,567600.0
1998-12-02,51.81,52.31,51.0,475900.0
1998-12-03,51.88,52.19,51.25,1151200.0
1998-12-04,54.75,55.19,52.38,1387700.0
1998-12-07,54.06,55.0,53.75,847400.0
1998-12-08,54.31,56.0,54.0,1321800.0
1998-12-09,54.44,55.38,54.13,692100.0
1998-12-10,54.19,54.56,54.0,567800.0
1998-12-11,54.0,54.44,54.0,443300.0
1998-12-14,53.88,54.56,53.63,1245500.0
1998-12-15,53.44,54.0,52.56,668500.0
1998-12-16,55.13,55.75,54.94,1179200.0
1998-12-17,55.88,55.88,55.0,748200.0
1998-12-18,56.13,56.81,55.06,864500.0
1998-12-21,56.88,57.25,55.75,737100.0
1998-12-22,57.38,57.44,56.44,899100.0
1998-12-23,58.69,58.69,57.13,936100.0
1998-12-24,58.31,58.75,58.0,226200.0
1998-12-28,57.13,58.31,56.88,444700.0
1998-12-29,57.31,58.5,57.13,566200.0
1998-12-30,56.63,57.38,56.38,302100.0
1998-12-31,57.06,57.56,56.0,435200.0
1999-01-04,59.25,59.5,57.5,1332700.0
1999-01-05,59.0,60.13,58.88,1177100.0
1999-01-06,59.44,59.75,58.44,1204800.0
1999-01-07,62.0,62.88,58.63,1427200.0
1999-01-08,65.13,65.38,62.25,2389000.0
1999-01-11,64.44,66.25,63.56,1387300.0
1999-01-12,66.88,67.13,64.06,2118000.0
1999-01-13,63.63,65.0,63.13,2986000.0
1999-01-14,60.5,63.94,59.88,1161600.0
1999-01-15,63.81,64.5,60.75,1009700.0
1999-01-19,65.0,65.38,62.88,1469200.0
1999-01-20,65.06,65.44,63.88,1817000.0
1999-01-21,66.0,66.88,64.81,2916000.0
1999-01-22,66.31,66.94,65.06,1972000.0
1999-01-25,65.38,66.94,64.31,1453600.0
1999-01-26,64.38,65.38,63.75,1079700.0
1999-01-27,64.19,65.5,63.75,1374000.0
1999-01-28,65.19,65.44,63.88,1089300.0
1999-01-29,66.0,66.5,64.75,1464100.0
1999-02-01,65.94,67.38,65.56,930900.0
1999-02-02,64.81,65.5,63.25,996400.0
1999-02-03,64.06,64.38,63.25,938200.0
1999-02-04,61.75,63.94,61.19,1340800.0
1999-02-05,62.94,63.31,61.81,1134900.0
1999-02-08,64.69,64.75,62.0,1131600.0
1999-02-09,63.88,64.44,63.38,1213200.0
1999-02-10,63.06,64.0,62.38,834000.0
1999-02-11,62.69,63.0,61.75,1493000.0
1999-02-12,62.69,63.75,62.69,6028000.0
1999-02-16,63.13,63.5,62.69,1221600.0
1999-02-17,61.94,63.13,61.56,1194100.0
1999-02-18,61.31,62.25,60.69,1829000.0
1999-02-19,62.5,62.75,60.88,632500.0
1999-02-22,64.0,64.56,61.25,1007500.0
1999-02-23,65.31,66.0,63.75,1889000.0
1999-02-24,68.25,68.88,65.19,2006000.0
1999-02-25,66.0,67.13,64.63,1391800.0
1999-02-26,65.0,66.31,64.13,1003200.0
1999-03-01,63.5,65.06,63.0,1743000.0
1999-03-02,62.63,64.31,61.94,939500.0
1999-03-03,63.38,63.56,62.31,987700.0
1999-03-04,65.0,65.31,63.5,1169200.0
1999-03-05,65.88,66.13,65.44,758400.0
1999-03-08,66.69,67.0,65.38,836500.0
1999-03-09,67.75,68.44,66.06,1477800.0
1999-03-10,70.0,70.13,68.0,1672000.0
1999-03-11,70.56,71.19,69.69,1301900.0
1999-03-12,68.88,70.0,68.69,1583000.0
1999-03-15,68.0,68.38,67.44,1583900.0
1999-03-16,66.94,68.13,66.94,869400.0
1999-03-17,67.63,67.75,66.56,1240700.0
1999-03-18,69.63,69.81,68.38,1121800.0
1999-03-19,69.25,69.94,68.88,982800.0
1999-03-22,67.69,69.75,67.69,1497700.0
1999-03-23,65.94,68.56,65.88,2468000.0
1999-03-24,65.81,66.75,65.0,1722000.0
1999-03-25,65.75,65.94,65.06,962100.0
1999-03-26,65.06,65.69,64.63,1491300.0
1999-03-29,66.19,67.0,65.06,879500.0
1999-03-30,65.0,66.0,64.75,771100.0
1999-03-31,64.25,65.5,63.0,1260000.0
1999-04-01,64.44,64.94,63.69,1374500.0
1999-04-05,63.13,64.75,62.88,2086000.0
1999-04-06,63.06,64.19,63.06,886400.0
1999-04-07,62.56,63.94,61.5,878100.0
1999-04-08,63.94,65.06,62.63,750600.0
1999-04-09,64.06,64.5,63.19,473300.0
1999-04-12,62.0,64.0,61.0,1674000.0
1999-04-13,65.94,66.44,63.38,2152000.0
1999-04-14,67.38,68.0,66.19,1349800.0
1999-04-15,69.0,69.44,67.44,2517000.0
